index,val
938,wind
939,wind
940,wind
941,wind
942,solar
943,solar
944,solar
945,solar
946,solar
947,solar
948,solar
949,solar
950,solar
951,solar
952,solar
953,solar
954,solar
955,solar
956,solar
957,solar
958,solar
959,water
960,water
961,solar
962,solar
963,solar
964,solar
965,solar
966,solar
967,solar
968,water
969,solar
970,solar
971,solar
972,solar
973,solar
974,solar
975,solar
976,solar
977,solar
978,solar
979,solar
980,solar
981,solar
982,solar
983,solar
984,solar
985,wind
986,wind
987,wind
988,wind
989,wind
990,wind
991,wind
992,wind
993,wind
994,solar
995,solar
996,solar
997,solar
998,solar
999,wind
1000,wind
1001,wind
1002,wind
1003,wind
1004,wind
1005,wind
1006,wind
1007,wind
1008,wind
1009,wind
1010,wind
1011,wind
1012,wind
1013,solar
1014,solar
1015,solar
1016,solar
1017,solar
1018,solar
1019,solar
1020,solar
1021,solar
1022,solar
1023,solar
1024,solar
1025,solar
1026,solar
1027,solar
1028,water
1029,water
1030,water
1031,solar
1032,solar
1033,solar
1034,solar
1035,solar
1036,solar
1037,solar
1038,water
1039,solar
1040,solar
1041,solar
1042,solar
1043,solar
1044,solar
1045,solar
1046,solar
1047,solar
1048,solar
1049,solar
1050,solar
1051,solar
1052,solar
1053,solar
1054,solar
1055,wind
1056,wind
1057,wind
1058,wind
1059,wind
1060,wind
1061,wind
1062,wind
1063,wind
1064,solar
1065,solar
1066,solar
1067,solar
1068,solar
1069,solar
1070,solar
1071,solar
1072,gas
1073,gas
1074,gas
1075,wind
1076,wind
1077,wind
1078,wind
1079,wind
1080,wind
1081,wind
1082,wind
1083,wind
1084,wind
1085,wind
1086,wind
1087,wind
1088,wind
1089,wind
1090,wind
1091,wind
1092,solar
1093,solar
1094,solar
1095,solar
1096,solar
1097,solar
1098,solar
1099,solar
1100,solar
1101,solar
1102,solar
1103,solar
1104,solar
1105,solar
1106,solar
1107,solar
1108,water
1109,water
1110,water
1111,solar
1112,solar
1113,solar
1114,solar
1115,solar
1116,solar
1117,solar
1118,solar
1119,water
1120,solar
1121,solar
1122,solar
1123,solar
1124,solar
1125,solar
1126,solar
1127,solar
1128,solar
1129,solar
1130,solar
1131,solar
1132,solar
1133,solar
1134,solar
1135,solar
1136,wind
1137,wind
1138,wind
1139,wind
1140,wind
1141,wind
1142,wind
1143,wind
1144,solar
1145,solar
1146,solar
1147,solar
1148,solar
1149,solar
1150,solar
1151,solar
1152,gas
1153,gas
1154,gas
1155,gas
1156,wind
1157,wind
1158,wind
1159,wind
1160,wind
1161,wind
1162,wind
1163,wind
1164,wind
1165,wind
1166,wind
1167,wind
1168,wind
1169,wind
1170,wind
1171,wind
1172,wind
1173,wind
1174,solar
1175,solar
1176,solar
1177,solar
1178,solar
1179,solar
1180,solar
1181,solar
1182,solar
1183,solar
1184,solar
1185,solar
1186,solar
1187,solar
1188,solar
1189,solar
1190,solar
1191,solar
1192,water
1193,solar
1194,solar
1195,solar
1196,solar
1197,solar
1198,solar
1199,solar
1200,solar
1201,solar
1202,solar
1203,solar
1204,solar
1205,solar
1206,solar
1207,solar
1208,solar
1209,solar
1210,solar
1211,solar
1212,solar
1213,solar
1214,solar
1215,solar
1216,solar
1217,solar
1218,solar
1219,wind
1220,wind
1221,wind
1222,wind
1223,wind
1224,wind
1225,wind
1226,wind
1227,solar
1228,solar
1229,solar
1230,solar
1231,solar
1232,solar
1233,solar
1234,solar
1235,gas
1236,gas
1237,gas
1238,gas
1239,gas
1240,gas
1241,wind
1242,wind
1243,wind
1244,wind
1245,wind
1246,wind
1247,wind
1248,wind
1249,wind
1250,wind
1251,wind
1252,wind
1253,wind
1254,wind
1255,wind
1256,wind
1257,solar
1258,solar
1259,solar
1260,solar
1261,solar
1262,solar
1263,solar
1264,solar
1265,solar
1266,solar
1267,solar
1268,solar
1269,solar
1270,solar
1271,solar
1272,solar
1273,solar
1274,solar
1275,solar
1276,solar
1277,solar
1278,solar
1279,solar
1280,solar
1281,solar
1282,solar
1283,solar
1284,solar
1285,solar
1286,solar
1287,solar
1288,solar
1289,solar
1290,solar
1291,solar
1292,solar
1293,solar
1294,solar
1295,solar
1296,solar
1297,solar
1298,solar
1299,solar
1300,solar
1301,solar
1302,solar
1303,wind
1304,wind
1305,wind
1306,wind
1307,wind
1308,wind
1309,water
1310,solar
1311,solar
1312,solar
1313,solar
1314,solar
1315,solar
1316,solar
1317,solar
1318,gas
1319,gas
1320,gas
1321,gas
1322,gas
1323,gas
1324,wind
1325,wind
1326,wind
1327,wind
1328,wind
1329,wind
1330,wind
1331,wind
1332,wind
1333,wind
1334,wind
1335,wind
1336,wind
1337,wind
1338,wind
1339,wind
1340,solar
1341,solar
1342,solar
1343,solar
1344,solar
1345,solar
1346,solar
1347,solar
1348,solar
1349,solar
1350,solar
1351,solar
1352,solar
1353,solar
1354,solar
1355,solar
1356,solar
1357,solar
1358,water
1359,water
1360,solar
1361,solar
1362,solar
1363,solar
1364,solar
1365,solar
1366,solar
