Site Number,Latitude,Longitude,Gage Height (m),Discharge (m^3/s)
08053090,32.9571611,-96.9071167,8708,2044
08053430,33.27791667,-97.4170417,10165,1771
08053500,33.11901003,-97.2905732,14,26057
08054000,33.0401228,-97.2050145,15952,7244
08054500,32.9726239,-97.0563981,6991,730
08055000,32.9870677,-97.0127857,7896,22396
08055500,32.965957,-96.94445,6278,41673
08055560,32.87333333,-96.9305556,7647,4991
08055700,32.86040457,-96.8538916,4,5848
08056000,32.842072,-96.8900038,8236,7511
08056500,32.80735055,-96.8025013,365,17172
08057000,32.7748517,-96.8219464,96,1684
08057055,32.7521361,-96.7825528,6859,5071
08057100,32.9704007,-96.8055566,5249,6634
08057200,32.88929207,-96.7566664,8056,19018
08057300,32.80873904,-96.725832,8634,8182
08057410,32.70763139,-96.7358319,8552,1433
08057445,32.70485346,-96.6699955,8807,11873
08057448,32.6176342,-96.6222148,15704,633
08057450,32.57846916,-96.756108,4794,3655
08058500,33.27844798,-96.6577703,8488,8096
08058900,33.2445597,-96.6086019,4839,12783
08059000,33.20372724,-96.595824,8864,13610
08059350,33.225,-96.3730556,3834,5039
08059400,33.29455787,-96.4835969,8597,12089
08059500,33.1931713,-96.4758193,8810,9284
08059570,33.21833333,-96.6941667,10,10
08059590,33.18485,-96.63805,8329,2206
08060000,33.0231751,-96.4758207,8424,1220
08060500,33.03178607,-96.4824876,8119,730
08061000,33.02373066,-96.4755429,4846,13801
08061480,32.95225,-96.4736389,3602,1231
08061500,32.92373399,-96.5058219,2162,10956
08061540,32.95984447,-96.6144378,8255,19339
08061548,32.9858611,-96.5564167,167,1465
08061550,32.80012714,-96.4960989,1578,3777
08061551,32.7986111,-96.4941667,6030,3135
08061700,32.83290425,-96.595548,7747,12419
08061750,32.7742947,-96.5035991,7692,17130
08061950,32.72568565,-96.5702689,2778,4016
08062000,32.6387442,-96.4852651,6671,26120
08062500,32.42652988,-96.4630415,7314,14074
08062575,32.31666667,-96.3593056,8423,1058
08062650,32.23792597,-96.1435843,1436,6208
08062700,32.14765255,-96.1024708,11878,366
08062730,32.7284624,-96.1735861,8415,685
08062800,32.50347129,-96.1127508,7017,15708
08062895,32.5561111,-96.3388889,7992,4327
08062900,32.5134711,-96.3291479,7247,9038
08062980,32.42430768,-96.1094171,6895,524
08063000,32.32931125,-96.1683078,483,9992
08063003,32.32181179,-96.0288584,1517,517
08063010,32.2432035,-96.1408064,6751,7424
08063020,32.15681904,-96.0627472,7114,2524
08063030,31.90955833,-96.8814639,7069,2024
08063040,32.05466944,-96.9065194,8591,2024
08063048,31.97805556,-96.8733333,3668,4773
08063050,31.9576568,-96.6894346,7878,730
08063100,31.9384908,-96.6813787,8352,21676
08063200,31.80043987,-96.7174899,6684,5873
08063460,31.967,-96.4751389,19854,554
08063500,31.95071375,-96.42137,7388,18354
08063562,32.16465,-96.7620056,21558,2148
08063590,32.3822222,-96.8505556,7392,4641
08063600,32.34181055,-96.8052735,1963,731
08063700,32.25014716,-96.6472123,4320,730
08063800,32.2434807,-96.6402676,1412,20868
08064100,32.1984823,-96.5202639,8583,912
08064500,32.10820817,-96.3708135,7380,16619
08064510,32.07126487,-96.4160928,8420,730
08064550,32.04043418,-96.2066402,9332,7425
08064700,31.84849638,-96.2899755,7991,18906
08064800,31.8809985,-95.8688514,7426,10014
08065000,31.64850597,-95.7894029,7431,35560
08065200,31.56989618,-95.8882938,10906,17811
08065330,31.4068455,-95.601896,7867,4081
08065350,31.33851319,-95.6563407,3211,15391
08065500,31.07462984,-95.6993922,11711,11550
08065700,30.9368559,-95.9355084,12046,4933
08065800,30.8847222,-95.7777778,7362,19476
08066000,30.85935514,-95.39883,4324,16435
08066100,31.05185075,-95.3779964,7359,6268
08066170,30.9071324,-95.0885468,5513,17435
08066175,30.88675,-95.0803889,7404,2646
08066190,30.6335308,-95.010213,11967,7825
